junction,betweenness,degree_centrality,eigenvector,degree,latitude,longitude,event_count,corridor,betweenness_norm,degree_centrality_norm,eigenvector_norm
jaipuria-adugodi,0.025487,0.017065,0.0,5,12.9352619,77.62457665,4,irr(thanisandra road),0.1931652822409507,0.5714285714285715,0.0
kudlugatejunc,0.024963,0.020478,0.0,6,12.8891573,77.63961979999999,6,hosur road,0.189193900442612,0.7142857142857143,0.0
devegowdapetrolbunkjunc,0.02473,0.017065,0.0,5,12.92073005,77.56126234999999,2,orr west 1,0.18742799975747285,0.5714285714285715,0.0
bigbazaarjunction(oldmadrasrd),0.024678,0.017065,0.0,5,12.991321150000001,77.65758055,26,old madras road,0.18703389316679803,0.5714285714285715,0.0
peenyapolicestation,0.024644,0.023891,0.0,7,13.0375844,77.52220635,12,tumkur road,0.18677620808827985,0.8571428571428572,0.0
basaweshwaracircle,0.024059,0.020478,0.0,6,12.9843829,77.5882441,5,bellary road 1,0.18234250894318801,0.7142857142857143,0.0
itmadujunction,0.023697,0.013652,0.0,4,12.92811485,77.54624035,6,orr west 1,0.17959892075425937,0.4285714285714286,0.0
khbjunction,0.02339,0.023891,0.0,7,12.9807626,77.5366494,1,magadi road,0.17727217607469836,0.8571428571428572,0.0
devangahosteljunction,0.023305,0.017065,0.0,5,12.963242,77.5892379,5,non-corridor,0.17662796337840295,0.5714285714285715,0.0
29thmainrdbtmlayoutjunc,0.022475,0.013652,0.0,4,12.9162395,77.6153012,5,non-corridor,0.17033741587340082,0.4285714285714286,0.0
mysorerd-ringrdjunc(nayandanahallii),0.022329,0.020478,0.0,6,12.94509038,77.5273583,19,orr west 1,0.16923088583035228,0.7142857142857143,0.0
"veerannapalyajunction(bel,ho)",0.0222,0.020478,0.0,6,13.0416234,77.6135233,30,orr north 1,0.1682531983265628,0.7142857142857143,0.0
d'souzacircle,0.021866,0.013652,0.0,4,12.967026449999999,77.61076915000001,4,non-corridor,0.16572182137876673,0.4285714285714286,0.0
maharajajunction,0.021477,0.020478,0.0,6,12.93436245,77.6296954,2,non-corridor,0.1627736009216031,0.7142857142857143,0.0
5thmainrpclayout-vijayanagar,0.021079,0.013652,0.0,4,12.9660024,77.5353515,3,west of chord road,0.15975716970836112,0.4285714285714286,0.0
devasandra(krpuram),0.021064,0.013652,0.0,4,13.0096311,77.6970983,30,non-corridor,0.1596434851148972,0.4285714285714286,0.0
vijayanagarbusstandjunction,0.020978,0.017065,0.0,5,12.97316185,77.53905950000001,6,west of chord road,0.15899169344570424,0.5714285714285715,0.0
5thmainhsr,0.020873,0.023891,0.0,7,12.9162053,77.6311916,3,orr east 1,0.15819590129145697,0.8571428571428572,0.0
urvashijunction,0.020823,0.017065,0.0,5,12.9556235,77.58573455,6,non-corridor,0.15781695264657733,0.5714285714285715,0.0
kammanahalli-ringroadjunction,0.020823,0.023891,0.0,7,13.02646995,77.63649985,4,orr north 1,0.15781695264657733,0.8571428571428572,0.0
kamakyajunction,0.020694,0.020478,0.0,6,12.9233939,77.5542916,1,orr west 1,0.15683926514278784,0.7142857142857143,0.0
basavamantapajunc-drrajkumarrd,0.019464,0.020478,0.0,6,12.9802019,77.55618905,2,non-corridor,0.14751712847874854,0.7142857142857143,0.0
drrajkumarrd-10thcrossrdjunc,0.018818,0.017065,0.0,5,13.0083617,77.5544196,5,non-corridor,0.14262111198690353,0.5714285714285715,0.0
